dom1,dom2,ipfam,threedid
PF01423,PF05010,0,0
PF01423,PF03144,0,0
PF01423,PF09770,0,0
PF01423,PF10775,0,0
PF01423,PF05282,0,0
PF01423,PF01585,0,0
PF01428,PF01428,1,0
PF07764,PF07764,1,1
PF08238,PF08238,1,1
PF08238,PF08240,0,0
PF09633,PF09633,0,1
PF09637,PF09748,0,0
PF09637,PF09637,0,1
PF01289,PF01289,1,1
PF08720,PF08720,1,1
PF08721,PF08722,1,1
PF08722,PF08722,1,1
PF08723,PF08723,1,1
PF08724,PF08724,1,1
PF08727,PF08727,1,1
PF04096,PF07575,0,0
PF04096,PF04096,1,1
PF04096,PF04097,0,0
PF04096,PF07817,0,0
PF04096,PF07716,0,0
PF04096,PF08240,0,0
PF04096,PF07690,0,0
PF04096,PF05172,0,0
PF04096,PF04121,0,0
PF04096,PF08568,0,0
PF04045,PF04062,0,0
PF04045,PF05856,0,1
PF04095,PF04095,1,1
PF00089,PF00197,1,1
PF00089,PF00379,0,0
PF00089,PF08242,0,0
PF00089,PF02854,0,0
PF00089,PF03973,1,1
PF00089,PF03974,1,1
PF00089,PF08764,1,1
PF00089,PF01826,1,1
PF00089,PF00595,1,1
PF00089,PF00560,1,1
PF00089,PF09396,0,1
PF00089,PF02244,1,1
PF00089,PF00720,1,0
PF00089,PF08783,0,0
PF00089,PF01839,0,0
PF00089,PF00089,1,1
PF00089,PF00273,0,0
PF00089,PF01713,0,0
PF00089,PF00267,0,1
PF00089,PF03826,0,0
PF00089,PF00361,0,0
PF00089,PF03567,0,0
PF00089,PF07719,0,0
PF00089,PF02821,1,1
PF00089,PF02822,1,1
PF00089,PF02983,1,1
PF00089,PF09272,1,1
PF00089,PF09532,0,0
PF00089,PF00227,0,0
PF00089,PF00243,1,1
PF00089,PF00228,1,1
PF00089,PF00246,0,1
PF00089,PF01403,1,1
PF00089,PF09064,1,1
PF00089,PF00822,0,0
PF00089,PF03148,0,0
PF00089,PF03441,0,0
PF00089,PF00092,1,1
PF00089,PF01108,1,1
PF00089,PF00713,1,1
PF00089,PF00095,1,1
PF00089,PF02428,1,1
PF00089,PF07645,1,1
PF00089,PF00299,1,1
PF00089,PF00275,0,0
PF00089,PF05375,1,1
PF00089,PF00280,1,1
PF00089,PF07648,1,1
PF00088,PF00627,0,0
PF00088,PF00088,1,1
PF04044,PF04121,0,1
PF00085,PF00334,0,0
PF00085,PF01134,0,0
PF00085,PF04739,0,0
PF00085,PF01116,0,0
PF00085,PF00532,0,0
PF00085,PF02780,0,0
PF00085,PF00343,0,0
PF00085,PF04137,0,0
PF00085,PF02800,0,0
PF00085,PF01451,0,1
PF00085,PF01597,0,0
PF00085,PF01459,0,0
PF00085,PF00101,0,0
PF00085,PF01434,0,0
PF00085,PF00240,0,0
PF00085,PF00244,0,0
PF00085,PF02771,0,0
PF00085,PF00520,0,0
PF00085,PF00730,0,0
PF00085,PF00485,0,0
PF00085,PF00484,0,0
PF00085,PF03952,0,0
PF00085,PF00132,0,0
PF00085,PF00135,0,0
PF00085,PF00310,0,0
PF00085,PF07686,0,1
PF00085,PF00316,0,0
PF00085,PF01541,0,0
PF00085,PF00254,0,0
PF00085,PF08726,0,0
PF00085,PF07992,1,1
PF00085,PF00890,0,0
PF00085,PF00121,0,0
PF00085,PF00085,1,1
PF00085,PF00183,0,0
PF00085,PF01973,0,0
PF00085,PF00554,1,0
PF00085,PF02943,0,1
PF00085,PF08534,0,0
PF00085,PF02535,0,0
PF00085,PF07196,0,0
PF00085,PF08240,0,0
PF00085,PF00141,0,0
PF00085,PF00306,0,0
PF00085,PF08323,0,0
PF00085,PF00917,0,0
PF00085,PF00152,0,0
PF00085,PF02441,0,0
PF00085,PF01625,0,0
PF00085,PF00155,0,0
PF00085,PF00154,0,0
PF00085,PF02357,0,0
PF00085,PF00091,1,1
PF00085,PF02752,0,0
PF00085,PF07977,0,0
PF00085,PF00549,0,0
PF00085,PF00464,0,0
PF00085,PF01507,0,1
PF00085,PF08669,0,0
PF00085,PF01652,0,0
PF00085,PF00702,0,0
PF00085,PF00267,0,0
PF00085,PF02518,0,0
PF00085,PF04542,0,0
PF00085,PF00575,0,0
PF00085,PF00578,0,0
PF00085,PF00664,0,0
PF00085,PF00476,1,1
PF00085,PF00206,0,0
PF00085,PF01479,0,0
PF00085,PF00204,0,0
PF00085,PF01716,0,0
PF00085,PF07650,0,0
PF00085,PF00364,0,0
PF00085,PF01475,0,0
PF00085,PF02866,0,0
PF00085,PF01926,0,0
PF00085,PF03166,0,0
PF00085,PF00676,0,0
PF00085,PF00672,0,0
PF00085,PF00171,0,0
PF00085,PF00274,0,0
PF00085,PF01370,0,0
PF00085,PF01568,0,0
PF00085,PF00197,0,1
PF00085,PF01747,0,0
PF00085,PF10515,0,0
PF00085,PF00427,0,0
PF00085,PF03477,0,0
PF00085,PF00162,0,0
PF00085,PF00163,0,0
PF00085,PF00923,0,0
PF00085,PF00920,0,0
PF00085,PF03372,1,0
PF00085,PF02672,0,0
PF00085,PF00180,0,0
PF00085,PF00224,0,0
PF00085,PF00226,0,0
PF00085,PF00582,0,0
PF00085,PF03460,0,0
PF00085,PF00112,0,0
PF00085,PF02151,0,0
PF00085,PF07645,0,0
PF00085,PF00111,0,0
PF00085,PF00118,0,0
PF00085,PF07724,0,0
PF00085,PF00502,0,0
PF00085,PF01584,0,0
PF00085,PF00291,0,0
PF00085,PF02878,0,0
PF00084,PF00207,0,1
PF00084,PF09014,1,1
PF00084,PF02372,0,1
PF00084,PF00089,1,1
PF00084,PF08919,0,0
PF00084,PF00715,1,1
PF00084,PF00084,1,1
PF00084,PF07678,1,1
PF00084,PF00097,0,0
PF00084,PF01835,0,1
PF00084,PF00092,0,1
PF00084,PF00541,0,1
PF00084,PF08794,0,1
PF00084,PF00273,0,0
PF00087,PF00087,1,1
PF00087,PF00135,1,1
PF00087,PF02931,1,1
PF00086,PF00112,1,1
PF00086,PF00219,0,1
PF00081,PF02777,1,1
PF00081,PF00081,1,1
PF00081,PF08340,0,0
PF00080,PF01271,0,0
PF00080,PF00403,1,1
PF00080,PF00080,1,1
PF04098,PF08423,0,0
PF04098,PF04098,1,1
PF00082,PF00720,1,1
PF00082,PF00197,0,1
PF00082,PF07686,0,1
PF00082,PF01483,1,1
PF00082,PF04151,1,1
PF00082,PF02225,1,1
PF00082,PF00082,1,1
PF00082,PF02428,1,1
PF00082,PF05922,1,1
PF00082,PF00083,0,0
PF00082,PF00112,0,0
PF00082,PF06280,1,1
PF00082,PF09286,1,1
PF00082,PF00280,1,1
PF01846,PF02037,0,0
PF01846,PF03372,0,0
PF01846,PF08074,0,0
PF01846,PF03194,0,0
PF01846,PF02142,0,0
PF07969,PF07969,0,1
PF00648,PF01067,1,1
PF00648,PF00748,0,1
PF00648,PF00648,1,1
PF07615,PF07615,1,1
PF00646,PF07684,0,0
PF00646,PF01466,1,1
PF00646,PF00962,0,0
PF00646,PF02309,0,0
PF00646,PF09079,0,0
PF00646,PF01111,0,0
PF00646,PF10584,0,0
PF00646,PF02344,0,0
PF00646,PF00875,0,0
PF00646,PF07859,0,0
PF00646,PF07716,0,0
PF00646,PF00646,1,1
PF00646,PF04300,0,1
PF00646,PF01363,0,0
PF00646,PF01883,0,0
PF00646,PF04873,0,0
PF00646,PF04427,0,0
PF00646,PF02234,0,0
PF00646,PF00888,1,1
PF00646,PF03514,0,0
PF00646,PF03719,0,0
PF07965,PF07974,1,0
PF07965,PF08441,1,1
PF00644,PF02877,1,1
PF00644,PF00644,1,1
PF07963,PF07963,0,1
PF00642,PF06058,0,0
PF00642,PF01138,0,0
PF00642,PF05182,0,0
PF00642,PF07521,0,0
PF00642,PF08318,0,0
PF00642,PF07776,0,0
PF00642,PF10515,0,0
PF00642,PF03940,0,0
PF00642,PF03178,0,0
PF00642,PF01607,0,0
PF00642,PF04926,0,0
PF00642,PF00642,1,1
PF00642,PF01602,0,0
PF00641,PF03154,0,0
PF00641,PF02344,0,0
PF00641,PF03055,0,0
PF00641,PF01454,0,0
PF00641,PF08517,0,0
PF00641,PF03847,0,0
PF00641,PF01756,0,0
PF00641,PF03803,0,0
PF00641,PF04855,0,0
PF00641,PF01485,0,0
PF00641,PF00867,0,0
PF00641,PF01167,0,0
PF00640,PF10515,0,1
PF00640,PF02177,0,0
PF00640,PF08517,0,0
PF00640,PF03006,0,0
PF00640,PF00995,0,0
PF00640,PF00788,0,0
PF00640,PF00640,1,1
PF00067,PF00258,1,1
PF00067,PF00324,0,0
PF00067,PF01189,0,0
PF00067,PF00072,0,0
PF00067,PF04597,0,0
PF00067,PF06011,0,0
PF00067,PF01222,0,0
PF00067,PF02453,0,0
PF00067,PF00122,0,0
PF00067,PF00149,0,0
PF00067,PF00083,0,0
PF00067,PF00432,0,0
PF00067,PF02383,0,0
PF00067,PF00674,0,0
PF00067,PF00067,1,1
PF00067,PF04096,0,0
PF00067,PF01435,0,0
PF00067,PF07690,0,0
PF00067,PF01553,0,0
PF00067,PF02441,0,0
PF00067,PF04116,0,0
PF00067,PF08114,0,0
PF00067,PF08498,0,0
PF00067,PF01679,0,0
PF00067,PF01237,0,0
PF00067,PF00155,0,0
PF00067,PF01105,0,0
PF00067,PF00096,0,0
PF00067,PF00173,0,0
PF00067,PF01151,0,0
PF00067,PF03448,0,0
PF00067,PF08449,0,0
PF00067,PF01066,0,0
PF00066,PF00066,0,1
PF00066,PF07684,0,1
PF00066,PF09270,0,0
PF00066,PF00595,0,0
PF00066,PF06816,0,1
PF00064,PF00064,1,1
PF00064,PF07686,1,1
PF00063,PF03114,0,0
PF00063,PF04434,0,0
PF00063,PF01031,1,0
PF00063,PF00627,0,0
PF00063,PF00573,0,0
PF00063,PF05470,0,0
PF00063,PF00063,1,1
PF00063,PF00244,0,0
PF00063,PF00612,1,1
PF00063,PF05337,0,0
PF00063,PF00483,0,0
PF00063,PF00091,0,0
PF00063,PF01843,0,0
PF00063,PF00861,0,0
PF00063,PF01218,0,0
PF00063,PF00350,1,0
PF00063,PF02736,1,1
PF00062,PF07686,1,1
PF00062,PF00062,1,1
PF00062,PF09864,0,1
PF00062,PF01462,0,1
PF00062,PF07654,0,1
PF00062,PF00069,0,0
PF00062,PF08816,1,1
PF00062,PF00969,1,1
PF00062,PF00993,1,1
PF00062,PF02709,1,1
PF00062,PF00560,0,1
PF00061,PF07686,0,1
PF00061,PF00061,1,1
PF00061,PF00069,0,0
PF00061,PF03148,0,0
PF00061,PF00576,0,1
PF00060,PF00989,0,0
PF00060,PF00595,0,0
PF00060,PF00533,0,0
PF00060,PF01094,0,0
PF00060,PF00641,0,0
PF00060,PF10514,0,0
PF00060,PF00063,0,0
PF00060,PF00060,1,1
PF00060,PF00307,0,0
PF00060,PF00365,0,0
PF00060,PF00069,0,0
PF00060,PF00244,0,0
PF00060,PF00581,0,0
PF00060,PF10613,0,1
PF00060,PF00995,0,0
PF00060,PF00613,0,0
PF00060,PF00616,0,0
PF00060,PF01049,0,0
PF00060,PF09311,0,0
PF00569,PF01426,0,0
PF00569,PF03847,0,0
PF00569,PF02344,0,0
PF00569,PF05236,0,0
PF00569,PF04440,0,0
PF00569,PF00569,0,0
PF00569,PF02144,0,0
PF00569,PF02291,0,0
PF06560,PF06560,1,1
PF00069,PF09468,0,0
PF00069,PF00831,0,0
PF00069,PF01282,0,0
PF00069,PF03159,0,0
PF00069,PF01285,0,0
PF00069,PF01287,0,0
PF00069,PF09744,0,0
PF00069,PF09295,0,0
PF00069,PF01111,1,1
PF00069,PF01115,0,0
PF00069,PF06818,0,0
PF00069,PF01119,0,0
PF00069,PF06325,0,0
PF00069,PF09346,0,0
PF00069,PF05127,0,0
PF00069,PF02330,0,0
PF00069,PF09041,1,1
PF00069,PF00885,0,0
PF00069,PF00736,0,0
PF00069,PF00631,0,0
PF00069,PF10018,0,0
PF00069,PF00833,0,0
PF00069,PF00410,0,0
PF00069,PF01607,0,0
PF00069,PF01603,0,0
PF00069,PF08243,0,0
PF00069,PF07763,0,0
PF00069,PF01544,0,0
PF00069,PF00493,0,0
PF00069,PF09637,0,0
PF00069,PF10278,0,0
PF00069,PF10374,0,0
PF00069,PF04096,0,0
PF00069,PF00081,0,0
PF00069,PF00080,0,0
PF00069,PF00083,0,0
PF00069,PF01302,0,0
PF00069,PF03154,0,0
PF00069,PF00648,0,0
PF00069,PF03234,0,0
PF00069,PF00069,1,1
PF00069,PF08159,0,0
PF00069,PF08653,0,0
PF00069,PF00992,0,0
PF00069,PF08155,0,0
PF00069,PF02441,0,0
PF00069,PF00428,0,0
PF00069,PF02934,0,0
PF00069,PF06003,0,0
PF00069,PF00393,0,0
PF00069,PF00397,0,0
PF00069,PF00464,0,0
PF00069,PF06493,0,0
PF00069,PF08326,0,0
PF00069,PF00907,0,0
PF00069,PF00900,0,0
PF00069,PF00903,0,0
PF00069,PF01015,0,0
PF00069,PF07544,0,0
PF00069,PF00261,0,0
PF00069,PF00268,0,0
PF00069,PF02747,0,0
PF00069,PF08579,0,0
PF00069,PF09793,0,0
PF00069,PF00696,0,0
PF00069,PF01087,0,0
PF00069,PF01161,0,0
PF00069,PF01166,0,0
PF00069,PF04106,0,0
PF00069,PF06031,0,0
PF00069,PF10609,0,0
PF00069,PF00605,0,0
PF00069,PF01833,0,0
PF00069,PF00163,0,0
PF00069,PF00166,0,0
PF00069,PF00164,0,0
PF00069,PF04201,0,0
PF00069,PF01269,0,0
PF00069,PF01266,0,0
PF00069,PF01267,0,0
PF00069,PF04561,0,0
PF00069,PF00183,0,0
PF00069,PF00189,0,0
PF00069,PF04190,0,0
PF00069,PF05605,0,0
PF00069,PF08613,0,1
PF00069,PF10226,0,0
PF00069,PF03261,1,1
PF00069,PF01588,0,0
PF00069,PF00501,0,0
PF00069,PF06479,0,1
PF00069,PF00238,0,0
PF00069,PF06456,0,0
PF00069,PF00338,0,0
PF00069,PF04732,0,0
PF00069,PF00070,0,0
PF00069,PF02893,0,0
PF00069,PF04739,0,0
PF00069,PF02780,0,0
PF00069,PF00342,0,0
PF00069,PF00436,0,0
PF00069,PF02800,0,0
PF00069,PF03941,1,1
PF00069,PF00432,0,0
PF00069,PF00433,1,1
PF00069,PF00349,0,0
PF00069,PF03949,0,0
PF00069,PF06916,0,0
PF00069,PF06777,0,0
PF00069,PF01883,0,0
PF00069,PF03000,0,0
PF00069,PF09280,0,0
PF00069,PF00804,0,0
PF00069,PF09283,0,0
PF00069,PF02732,0,0
PF00069,PF06071,0,0
PF00069,PF08407,0,0
PF00069,PF06179,0,0
PF00069,PF09038,0,0
PF00069,PF01221,0,0
PF00069,PF00724,0,0
PF00069,PF01227,0,0
PF00069,PF03130,0,0
PF00069,PF02812,0,0
PF00069,PF03133,0,0
PF00069,PF03951,0,0
PF00069,PF06617,0,0
PF00069,PF08534,0,0
PF00069,PF04078,0,0
PF00069,PF08242,0,0
PF00069,PF08246,0,0
PF00069,PF07679,1,1
PF00069,PF02214,0,0
PF00069,PF10264,0,0
PF00069,PF08080,0,0
PF00069,PF02197,0,0
PF00069,PF00157,0,0
PF00069,PF03731,0,0
PF00069,PF04499,0,0
PF00069,PF00793,0,0
PF00069,PF03637,0,0
PF00069,PF04495,0,0
PF00069,PF00076,0,1
PF00069,PF02996,0,0
PF00069,PF02991,0,0
PF00069,PF00071,0,1
PF00069,PF03061,0,0
PF00069,PF00375,0,0
PF00069,PF08148,0,0
PF00069,PF08662,0,0
PF00069,PF04478,0,0
PF00069,PF10506,0,0
PF00069,PF02100,0,0
PF00069,PF00380,0,0
PF00069,PF00571,0,0
PF00069,PF03357,0,0
PF00069,PF00575,1,1
PF00069,PF00576,0,0
PF00069,PF00206,0,0
PF00069,PF00205,0,0
PF00069,PF09241,1,1
PF00069,PF04858,0,0
PF00069,PF08239,0,0
PF00069,PF05178,0,0
PF00069,PF05179,0,0
PF00069,PF02771,0,0
PF00069,PF05076,0,0
PF00069,PF02773,0,0
PF00069,PF05172,0,0
PF00069,PF02172,0,0
PF00069,PF02071,0,0
PF00069,PF05191,0,0
PF00069,PF01187,0,0
PF00069,PF03179,0,0
PF00069,PF01679,0,0
PF00069,PF03070,0,0
PF00069,PF04825,0,0
PF00069,PF05291,0,0
PF00069,PF08726,0,0
PF00069,PF09080,1,0
PF00069,PF09368,0,0
PF00069,PF00534,0,0
PF00069,PF04500,0,0
PF00069,PF08953,0,0
PF00069,PF08598,0,0
PF00069,PF02251,0,0
PF00069,PF04180,0,0
PF00069,PF08563,0,0
PF00069,PF05203,0,0
PF00069,PF01212,0,0
PF00069,PF01214,1,1
PF00069,PF03813,0,0
PF00069,PF03810,0,0
PF00069,PF10542,0,0
PF00069,PF04438,0,0
PF00069,PF05922,0,0
PF00069,PF08743,0,0
PF00069,PF00535,0,0
PF00069,PF10193,0,0
PF00069,PF02222,0,0
PF00069,PF07984,0,0
PF00069,PF08693,0,0
PF00069,PF01451,0,0
PF00069,PF07989,0,0
PF00069,PF00241,0,0
PF00069,PF01484,0,0
PF00069,PF00244,0,0
PF00069,PF04722,0,0
PF00069,PF04729,0,0
PF00069,PF05337,0,0
PF00069,PF05706,1,1
PF00069,PF03952,0,0
PF00069,PF03953,0,0
PF00069,PF03950,0,0
PF00069,PF00402,0,0
PF00069,PF03957,0,0
PF00069,PF05091,0,0
PF00069,PF09332,0,0
PF00069,PF01034,0,0
PF00069,PF04942,0,0
PF00069,PF01135,0,0
PF00069,PF02045,0,0
PF00069,PF05383,0,0
PF00069,PF01984,0,0
PF00069,PF09538,0,0
PF00069,PF03103,0,0
PF00069,PF00861,0,0
PF00069,PF03106,0,0
PF00069,PF10428,0,0
PF00069,PF08701,0,0
PF00069,PF10422,0,0
PF00069,PF02184,0,0
PF00069,PF01851,0,0
PF00069,PF01857,0,0
PF00069,PF01209,0,0
PF00069,PF00786,1,1
PF00069,PF01248,0,0
PF00069,PF08790,0,0
PF00069,PF00667,0,0
PF00069,PF00368,0,0
PF00069,PF10512,0,0
PF00069,PF02984,1,1
PF00069,PF02149,0,0
PF00069,PF00365,0,0
PF00069,PF02867,0,0
PF00069,PF04762,0,0
PF00069,PF05746,0,0
PF00069,PF05669,0,0
PF00069,PF06268,0,0
PF00069,PF02463,0,0
PF00069,PF04042,0,0
PF00069,PF07535,0,0
PF00069,PF00210,0,0
PF00069,PF06333,0,0
PF00069,PF04614,0,0
PF00069,PF10601,0,0
PF00069,PF10607,0,0
PF00069,PF10608,0,0
PF00069,PF00860,0,0
PF00069,PF00923,0,0
PF00069,PF03344,0,0
PF00069,PF06424,0,0
PF00069,PF00282,0,0
PF00069,PF00281,0,0
PF00069,PF06422,0,0
PF00069,PF01191,0,0
PF00069,PF01193,0,0
PF00069,PF03066,0,0
PF00069,PF03148,0,0
PF00069,PF01294,0,0
PF00069,PF01103,0,0
PF00069,PF01669,0,0
PF00069,PF05529,0,0
PF00069,PF01667,0,0
PF00069,PF05282,0,0
PF00069,PF05843,0,0
PF00069,PF08423,0,0
PF00069,PF02301,0,0
PF00069,PF04821,0,0
PF00069,PF03399,0,0
PF00069,PF08587,0,1
PF00069,PF00627,0,1
PF00069,PF04880,0,0
PF00069,PF08515,1,1
PF00069,PF01201,0,0
PF00069,PF03542,0,0
PF00069,PF03547,0,0
PF00069,PF08632,0,0
PF00069,PF03801,0,0
PF00069,PF08638,0,0
PF00069,PF01535,0,0
PF00069,PF10557,0,0
PF00069,PF09606,0,0
PF00069,PF10369,0,0
PF00069,PF02234,1,1
PF00069,PF00483,0,0
PF00069,PF01336,0,0
PF00069,PF07991,0,0
PF00069,PF04124,0,0
PF00069,PF00134,1,1
PF00069,PF03712,0,0
PF00069,PF00136,0,0
PF00069,PF00313,0,0
PF00069,PF00250,0,0
PF00069,PF00318,0,0
PF00069,PF00252,0,0
PF00069,PF00254,1,1
PF00069,PF04710,0,0
PF00069,PF08644,0,0
PF00069,PF05652,0,0
PF00069,PF05303,0,0
PF00069,PF02940,0,0
PF00069,PF00416,0,0
PF00069,PF02827,1,1
PF00069,PF02823,0,0
PF00069,PF07994,0,0
PF00069,PF09736,0,0
PF00069,PF05406,0,0
PF00069,PF05405,0,0
PF00069,PF04084,0,0
PF00069,PF00137,0,0
PF00069,PF09235,0,0
PF00069,PF02752,0,0
PF00069,PF07289,0,0
PF00069,PF01991,0,0
PF00069,PF01992,0,0
PF00069,PF04120,0,0
PF00069,PF06391,0,0
PF00069,PF01798,0,0
PF00069,PF10744,0,0
PF00069,PF07479,0,0
PF00069,PF01158,0,0
PF00069,PF01092,0,0
PF00069,PF02065,0,0
PF00069,PF01151,0,0
PF00069,PF01775,0,0
PF00069,PF01777,0,0
PF00069,PF04110,0,0
PF00069,PF00687,0,0
PF00069,PF10249,0,0
PF00069,PF04280,0,0
PF00069,PF01929,0,0
PF00069,PF00674,0,0
PF00069,PF09497,0,0
PF00069,PF01847,0,0
PF00069,PF00177,0,0
PF00069,PF08164,0,0
PF00069,PF02970,0,0
PF00069,PF04597,0,0
PF00069,PF02089,0,0
