Entry,Cross-reference (Pfam),Cross-reference (InterPro)
P0A9Q1,PF00072;PF00486;,IPR011006;IPR001867;IPR016032;IPR001789;IPR039420;IPR036388;
P0AEC3,PF02518;PF00512;PF18415;PF01627;PF00989;PF00072;,IPR027460;IPR011006;IPR003594;IPR036890;IPR005467;IPR003661;IPR036097;IPR040642;IPR036641;IPR000014;IPR000700;IPR035965;IPR013767;IPR004358;IPR008207;IPR014409;IPR001789;
P0A6E4,PF00764;,IPR023437;IPR001518;IPR018223;IPR023434;IPR024074;IPR024073;IPR014729;
P04391,PF00185;PF02729;,IPR006132;IPR006130;IPR036901;IPR006131;IPR002292;IPR024904;
P07639,PF01761;,IPR016037;IPR030963;IPR030960;
P00887,PF00793;,IPR013785;IPR006218;IPR006219;
P37309,PF01022;,IPR011991;IPR018334;IPR001845;IPR036388;IPR036390;
P30860,PF00497;,IPR001320;IPR005768;IPR018313;IPR001638;
P0AE30,PF00528;,IPR010065;IPR000515;IPR035906;
P0AAF6,PF00005;,IPR003593;IPR030679;IPR003439;IPR017871;IPR027417;
P24242,PF00356;,IPR000843;IPR010982;IPR028082;
P0A9Q9,PF01118;PF02774;,IPR000319;IPR011534;IPR012080;IPR036291;IPR000534;IPR012280;
P00963,PF03590;,IPR006195;IPR004618;
P22106,PF00733;PF13537;,IPR006426;IPR001962;IPR033738;IPR017932;IPR029055;IPR014729;
P0A8M0,PF00152;PF01336;,IPR004364;IPR006195;IPR004522;IPR002312;IPR012340;IPR004365;
P0AC38,PF10415;PF00206;,IPR004708;IPR024083;IPR018951;IPR020557;IPR000362;IPR022761;IPR008948;
P00509,PF00155;,IPR004839;IPR000796;IPR004838;IPR015424;IPR015422;IPR015421;
P21889,PF02938;PF00152;PF01336;,IPR004364;IPR006195;IPR004524;IPR002312;IPR004115;IPR029351;IPR012340;IPR004365;
P36560,,IPR023497;
P76216,PF04996;,IPR037031;IPR007079;
P77581,PF00202;,IPR017652;IPR004636;IPR005814;IPR015424;IPR015422;IPR015421;IPR026330;
P76217,PF00171;,IPR016161;IPR016163;IPR016160;IPR029510;IPR016162;IPR015590;IPR017649;
P76458,PF01144;,IPR012792;IPR004165;IPR004163;IPR037171;
P0ABB0,PF00006;PF00306;PF02874;,IPR023366;IPR000793;IPR038376;IPR033732;IPR005294;IPR020003;IPR004100;IPR036121;IPR000194;IPR027417;
P0A6E6,PF00401;PF02823;,IPR036794;IPR001469;IPR020547;IPR020546;IPR036771;
P0ABB4,PF00006;PF02874;,IPR003593;IPR005722;IPR020003;IPR004100;IPR036121;IPR000194;IPR024034;IPR027417;
P68699,PF00137;,IPR005953;IPR000454;IPR020537;IPR038662;IPR002379;IPR035921;
P0ABA6,PF00231;,IPR035968;IPR000131;IPR023632;
P69228,PF00072;PF00486;,IPR011006;IPR001867;IPR016032;IPR001789;IPR039420;IPR036388;
P30843,PF00072;PF00486;,IPR011006;IPR001867;IPR016032;IPR001789;IPR039420;IPR036388;
P0AE52,PF00578;,IPR000866;IPR024706;IPR036249;IPR013766;
P37653,PF03552;PF00535;PF07238;,IPR003919;IPR005150;IPR001173;IPR029044;IPR009875;
P37659,PF11658;,IPR017849;IPR017744;
P17444,PF05199;PF00732;,IPR011533;IPR036188;IPR027424;IPR012132;IPR000172;IPR007867;
P17446,PF13977;PF00440;,IPR039538;IPR023772;IPR009057;IPR001647;IPR036271;IPR039419;IPR017757;
P11988,PF00232;,IPR001360;IPR018120;IPR033132;IPR017853;
P08722,PF00358;PF00367;PF02378;,IPR011055;IPR036878;IPR018113;IPR001127;IPR003352;IPR013013;IPR011297;IPR001996;IPR004719;
P11989,PF03123;PF00874;,IPR004341;IPR036650;IPR011608;IPR036634;IPR001550;
P33363,PF14310;PF00933;PF01915;,IPR026891;IPR019800;IPR002772;IPR036881;IPR001764;IPR036962;IPR017853;IPR013783;
P12996,PF06968;PF04055;,IPR013785;IPR010722;IPR002684;IPR024177;IPR006638;IPR007197;
P12998,PF00155;,IPR001917;IPR004839;IPR004723;IPR022834;IPR015424;IPR015422;IPR015421;
P32132,PF00679;PF00009;PF03144;,IPR035651;IPR035647;IPR000640;IPR004161;IPR031157;IPR027417;IPR005225;IPR000795;IPR009000;IPR006298;
P0A901,PF08212;,IPR012674;IPR022271;IPR002446;IPR022272;IPR000566;
P0ABE2,PF01722;,IPR002634;IPR036065;
P0AD99,PF05525;,IPR004685;
P06609,PF01032;,IPR037294;IPR023691;IPR000522;
P0A9H3,PF01276;PF03711;PF03709;,IPR005308;IPR011193;IPR000310;IPR008286;IPR036633;IPR015424;IPR015422;IPR015421;
P23890,PF00486;,IPR001867;IPR016032;IPR011990;IPR039420;IPR036388;
P31552,PF00501;PF13193;,IPR025110;IPR020845;IPR000873;IPR023456;
P31551,PF00378;,IPR022852;IPR029045;IPR018376;IPR001753;IPR014748;
P0AE58,PF07180;,IPR020357;IPR036388;
P61517,PF00484;,IPR001765;IPR015892;IPR036874;
P0A6F1,PF00988;PF00117;,IPR006274;IPR002474;IPR036480;IPR029062;IPR035686;IPR017926;
P00968,PF02786;PF02787;PF02142;,IPR011761;IPR006275;IPR005480;IPR036897;IPR005479;IPR005483;IPR011607;IPR036914;IPR033937;IPR016185;
P36659,PF00226;PF01556;,IPR023859;IPR002939;IPR001623;IPR018253;IPR008971;IPR036869;
P31456,PF01494;,IPR002938;IPR036188;
P06961,PF01966;PF01743;PF12627;,IPR012006;IPR003607;IPR006674;IPR002646;IPR032828;
P0AEJ8,PF03319;,IPR004992;IPR036677;
P33931,PF00005;,IPR003593;IPR003439;IPR017871;IPR005895;IPR027417;
P0ABM1,PF01578;,IPR002541;IPR003557;
P0ABM5,PF04995;,IPR007078;
P69490,PF03100;,IPR004329;IPR036127;
P33927,PF16327;PF01578;,IPR032523;IPR002541;IPR003567;IPR003568;
P0AA86,PF08534;,IPR004799;IPR013740;IPR036249;IPR017937;IPR013766;
P0ABF6,PF00383;PF08211;,IPR016192;IPR002125;IPR013171;IPR006263;IPR016193;IPR020797;
P0AE60,PF10729;,IPR038463;IPR019666;
P0A9H7,,IPR003333;IPR029063;
P17410,PF07883;PF12833;,IPR013096;IPR009057;IPR018060;IPR018062;IPR014710;IPR011051;IPR020449;
P07363,PF01584;PF09078;PF02895;PF02518;PF01627;,IPR004105;IPR037006;IPR002545;IPR036061;IPR015162;IPR035891;IPR003594;IPR036890;IPR005467;IPR036097;IPR036641;IPR004358;IPR008207;
P07330,PF01339;PF00072;,IPR008248;IPR035909;IPR011006;IPR000673;IPR001789;
P07364,PF01739;PF03705;,IPR026024;IPR022642;IPR000780;IPR022641;IPR036804;IPR029063;
P0A964,PF01584;,IPR002545;IPR036061;IPR039315;
P0AE67,PF00072;,IPR011006;IPR001789;
P0A9H9,PF04344;,IPR007439;
P0AE70,PF02452;,IPR003477;IPR011067;
P0AE72,PF04014;,IPR039052;IPR007159;IPR037914;
P08365,PF04014;,IPR039052;IPR007159;IPR037914;
P77510,PF02518;PF00989;PF17203;PF14689;,IPR003594;IPR036890;IPR005467;IPR000014;IPR035965;IPR013767;IPR033463;IPR029151;IPR004358;IPR016120;IPR039506;
P77390,PF08218;,IPR016181;IPR005216;IPR013166;IPR004821;IPR000182;IPR014729;
P76175,PF00654;,IPR014743;IPR001807;IPR023790;
P0ABH9,PF00004;PF07724;PF02861;PF10431;,IPR003593;IPR003959;IPR019489;IPR004176;IPR036628;IPR013461;IPR001270;IPR018368;IPR028299;IPR027417;
P63284,PF00004;PF07724;PF02861;PF10431;,IPR003593;IPR003959;IPR017730;IPR019489;IPR004176;IPR036628;IPR001270;IPR018368;IPR028299;IPR027417;
P0A6G7,PF00574;,IPR001907;IPR029045;IPR023562;IPR033135;IPR018215;
P0A8Q6,PF02617;,IPR022935;IPR003769;IPR014719;
P0A6H1,PF07724;PF10431;PF06689;,IPR003593;IPR003959;IPR019489;IPR004487;IPR027417;IPR010603;IPR038366;
P69826,PF02378;PF02302;,IPR036095;IPR013011;IPR003501;IPR029503;IPR003352;IPR013014;IPR004718;
P69824,PF00359;,IPR016152;IPR002178;
P75960,PF02146;,IPR029035;IPR003000;IPR026591;IPR027546;IPR026590;
P25524,PF07969;,IPR013108;IPR011059;IPR032466;
P46891,,IPR000150;IPR036412;IPR006379;IPR023938;
P0AEW4,PF00149;,IPR004843;IPR026575;IPR013622;IPR029052;
P0AE82,PF16527;PF00672;PF02518;PF00512;,IPR032404;IPR038515;IPR003660;IPR003594;IPR036890;IPR005467;IPR003661;IPR036097;IPR004358;
P0AE88,PF00072;PF00486;,IPR011006;IPR001867;IPR001789;IPR039420;IPR036388;
P0AE91,PF05981;,IPR010292;
P08368,PF00072;PF00486;,IPR011006;IPR001867;IPR016032;IPR001789;IPR039420;IPR036388;
P0ACJ8,PF00027;PF13545;,IPR018490;IPR018488;IPR000595;IPR012318;IPR014710;IPR018335;IPR036388;IPR036390;
Q46925,PF00266;,IPR000192;IPR020578;IPR022471;IPR015424;IPR015422;IPR015421;
P52106,PF00196;,IPR016032;IPR000792;IPR036388;
P37338,PF07729;PF00392;,IPR011711;IPR008920;IPR000524;IPR036388;IPR036390;
P36995,PF00313;,IPR019844;IPR012156;IPR011129;IPR002059;IPR012340;
P0A9Y6,PF00313;,IPR019844;IPR012156;IPR011129;IPR002059;IPR012340;
P0A978,PF00313;,IPR019844;IPR012156;IPR011129;IPR002059;IPR012340;
P69913,PF02599;,IPR003751;IPR036107;
P77239,PF00529;PF16576;,IPR032317;IPR006143;
P77211,PF02321;,IPR003423;IPR010131;
P77214,PF11604;,IPR021647;
P0ACZ8,PF00072;PF00486;,IPR011006;IPR001867;IPR006291;IPR016032;IPR001789;IPR039420;IPR036388;
P77485,PF00672;PF02518;PF00512;,IPR006290;IPR003660;IPR003594;IPR036890;IPR005467;IPR003661;IPR036097;IPR004358;
P69488,PF03091;,IPR023700;IPR004323;IPR011322;IPR015867;
P08550,PF02674;,IPR003825;
P00936,PF12633;PF01295;,IPR000274;IPR024686;IPR024685;
P0ABJ9,PF01654;,IPR002585;
P16676,PF00005;PF12857;,IPR003593;IPR014769;IPR003439;IPR017871;IPR008995;IPR027417;IPR005666;IPR024765;
P0A9F3,PF00126;PF03466;,IPR005119;IPR000847;IPR036388;IPR036390;
P21156,PF01507;,IPR002500;IPR014729;IPR011784;
P0A9D4,PF00132;PF06426;,IPR001451;IPR018357;IPR010493;IPR005881;IPR011004;
P0AEA8,PF10414;PF14824;PF00590;,IPR000878;IPR035996;IPR014777;IPR014776;IPR006366;IPR036291;IPR037115;IPR012409;IPR028281;IPR019478;IPR006367;IPR003043;
P17854,PF01507;,IPR004511;IPR002500;IPR011800;IPR014729;
P17846,PF01077;PF03460;,IPR011786;IPR005117;IPR036136;IPR006067;IPR006066;
P38038,PF00667;PF00258;PF00175;,IPR010199;IPR003097;IPR029758;IPR017927;IPR001094;IPR008254;IPR001709;IPR029039;IPR039261;IPR023173;IPR001433;IPR017938;
P0ABK5,PF00291;,IPR005856;IPR005859;IPR001216;IPR001926;IPR036052;
P16703,PF00291;,IPR005856;IPR005858;IPR001216;IPR001926;IPR036052;
P16700,,IPR000957;IPR034408;IPR005669;
P0ACN7,PF00356;,IPR000843;IPR010982;IPR028082;
P0AEB2,PF07943;PF00768;,IPR012338;IPR015956;IPR018044;IPR012907;IPR037167;IPR001967;
P11557,PF05036;,IPR032899;IPR007730;IPR036680;
P0A6L2,PF00701;,IPR013785;IPR005263;IPR002220;IPR020625;IPR020624;
P0AED7,PF07687;PF01546;,IPR001261;IPR036264;IPR005941;IPR002933;IPR011650;
P28248,PF00692;,IPR011962;IPR029054;IPR036157;IPR033704;
P0AED9,PF18284;PF00145;,IPR018117;IPR001525;IPR031303;IPR040743;IPR029063;
P0AEE1,PF08786;,IPR014894;IPR016123;
P0AD01,PF00072;,IPR011006;IPR024187;IPR001789;
P0AEC8,PF02518;PF00989;PF17203;PF14689;,IPR003594;IPR036890;IPR005467;IPR000014;IPR035965;IPR013767;IPR033463;IPR029151;IPR004358;IPR016120;IPR039506;
P0A9P6,PF03880;PF00270;PF12343;PF00271;,IPR021046;IPR034415;IPR005580;IPR011545;IPR028618;IPR014001;IPR001650;IPR012677;IPR027417;IPR000629;IPR014014;
P0A6K3,PF01327;,IPR023635;IPR036821;
P0C0V0,PF00595;,IPR001478;IPR036034;IPR011782;IPR009003;IPR001940;
P0AEE3,PF13180;,IPR001478;IPR036034;IPR011783;IPR009003;IPR001940;
P0A6P5,PF14714;PF01926;,IPR031166;IPR016484;IPR006073;IPR032859;IPR015946;IPR027417;IPR005225;
P0ABQ0,PF04127;PF02441;,IPR035929;IPR005252;IPR007085;IPR036551;IPR003382;
P31460,PF07729;PF00392;,IPR011711;IPR008920;IPR000524;IPR036388;IPR036390;
P50456,PF00480;,IPR000600;IPR036388;IPR036390;
P15723,PF01966;,IPR023293;IPR006261;IPR020779;IPR003607;IPR006674;
P37349,PF03610;PF05524;PF00391;PF00381;,IPR012844;IPR000032;IPR035895;IPR008279;IPR036637;IPR004701;IPR036662;IPR008731;IPR001020;IPR036618;
P76015,PF02733;,IPR012736;IPR004006;
P76016,PF02954;PF00989;PF00158;,IPR003593;IPR029016;IPR009057;IPR002197;IPR027417;IPR000014;IPR035965;IPR013767;IPR002078;IPR025662;IPR025943;
P09557,PF05358;,IPR008022;
P0ABR1,PF06183;,IPR036687;IPR010391;
Q47150,PF04221;,IPR013321;IPR026262;IPR007337;
P36655,PF11412;PF02683;,IPR003834;IPR035671;IPR028250;IPR036929;IPR022910;IPR036249;IPR017937;IPR013766;
P0ABS1,PF01258;,IPR012784;IPR037187;IPR020460;IPR000962;IPR020458;
P18775,PF04879;PF00384;PF01568;,IPR011888;IPR009010;IPR006657;IPR006656;IPR006963;IPR006655;IPR027467;IPR006311;IPR019546;
P18776,PF13247;PF12800;,IPR017896;IPR017900;IPR014297;
P69853,PF02613;,IPR026269;IPR028611;IPR020945;IPR036411;
P03004,PF00308;PF08299;PF11638;,IPR003593;IPR001957;IPR020591;IPR018312;IPR013317;IPR013159;IPR024633;IPR038454;IPR027417;IPR010921;
P0ACB0,PF00772;PF03796;,IPR003593;IPR036185;IPR007692;IPR007694;IPR007693;IPR016136;IPR027417;
P0AEF0,PF01695;,IPR003593;IPR028350;IPR002611;IPR027417;
P10443,PF07733;PF14579;PF02811;PF01336;,IPR011708;IPR029460;IPR004365;IPR004013;IPR003141;IPR016195;IPR004805;
P08622,PF00226;PF01556;PF00684;,IPR012724;IPR002939;IPR001623;IPR018253;IPR008971;IPR001305;IPR036410;IPR036869;
P0A6Y8,PF00012;,IPR012725;IPR018181;IPR029048;IPR029047;IPR013126;
P0A988,PF00712;PF02767;PF02768;,IPR001001;IPR022635;IPR022637;IPR022634;
P03007,PF00929;,IPR006054;IPR006309;IPR013520;IPR012337;IPR036397;
P06710,PF12169;PF12168;PF12170;,IPR003593;IPR001270;IPR008921;IPR022001;IPR022754;IPR012763;IPR021029;IPR027417;IPR038249;
P76129,PF00563;PF00990;PF13426;,IPR012226;IPR001633;IPR035919;IPR000160;IPR029787;IPR001610;IPR000014;IPR000700;IPR035965;
P23847,PF00496;,IPR030678;IPR039424;IPR023765;IPR000914;
P0AAG0,PF00005;PF08352;,IPR003593;IPR003439;IPR017871;IPR013563;IPR027417;
P37313,PF00005;PF08352;,IPR003593;IPR003439;IPR017871;IPR013563;IPR027417;
P0ABT2,PF00210;,IPR002177;IPR023188;IPR023067;IPR012347;IPR009078;IPR008331;
P0AEG4,PF01323;,IPR001853;IPR023205;IPR036249;IPR017937;IPR013766;
P0A6M2,PF02600;,IPR003752;IPR022920;IPR023380;
P0AEG6,PF10411;PF13098;,IPR033954;IPR018950;IPR009094;IPR012336;IPR036249;IPR017937;IPR013766;
P77202,PF13098;,IPR033954;IPR009094;IPR012336;IPR036249;
P08555,PF02447;,IPR003474;
P0AEG8,PF10781;,IPR019717;
P0ABT5,PF01207;,IPR013785;IPR035587;IPR032887;IPR024036;IPR004652;IPR001269;IPR018517;
P33371,PF01207;,IPR013785;IPR035587;IPR032886;IPR001269;IPR018517;
P77488,PF13292;PF02779;PF02780;,IPR005477;IPR029061;IPR009014;IPR005475;IPR020826;IPR033248;IPR005474;
P0AC73,PF04074;,IPR004375;IPR037012;
P0A955,PF01081;,IPR000887;IPR013785;IPR031337;IPR031338;
P77257,PF00005;,IPR003593;IPR003439;IPR017871;IPR030281;IPR027417;
P0AEH5,PF05957;,IPR010279;
P0ABU5,,IPR029062;IPR026041;
P27303,PF00529;PF16576;,IPR005694;IPR032317;IPR006143;
P52600,PF07690;,IPR004638;IPR011701;IPR020846;IPR036259;
P0A6P9,PF00113;PF03952;,IPR000941;IPR036849;IPR029017;IPR020810;IPR020809;IPR020811;
P0ADI4,PF00857;PF00550;,IPR036736;IPR016291;IPR000868;IPR036380;IPR009081;
P10378,PF00501;PF13193;,IPR025110;IPR020845;IPR000873;IPR011963;
P11454,PF00501;PF13193;PF00668;PF00550;PF00975;,IPR010071;IPR029058;IPR036736;IPR025110;IPR020845;IPR000873;IPR023213;IPR001242;IPR020806;IPR020802;IPR009081;IPR006162;IPR001031;
P0ACT2,PF08361;PF00440;,IPR023772;IPR009057;IPR001647;IPR036271;IPR039419;IPR013572;
P0AEJ4,PF00672;PF02518;PF00512;,IPR003660;IPR003594;IPR036890;IPR005467;IPR003661;IPR036097;IPR004358;
P0A9B6,PF02800;PF00044;,IPR006422;IPR020831;IPR020830;IPR020829;IPR020828;IPR036291;
P30845,PF08019;PF00884;,IPR017849;IPR017850;IPR012549;IPR040423;IPR000917;
P06616,PF07650;PF01926;,IPR030388;IPR005662;IPR006073;IPR015946;IPR004044;IPR009019;IPR027417;IPR005225;
P39176,PF03734;,IPR005490;IPR038063;
P76551,PF06277;,IPR009377;
P0AEJ6,PF06751;,IPR013785;IPR010628;
P19636,PF05985;,IPR009246;
P76553,PF00465;,IPR001670;IPR018211;IPR039697;
P76552,PF04346;,IPR007441;
P77218,PF01515;,IPR012147;IPR004614;IPR002505;
P76555,PF06249;,IPR010424;IPR014710;IPR011051;
P0ACZ4,PF00196;PF00072;,IPR011006;IPR016032;IPR001789;IPR000792;IPR036388;
P0ABU7,PF01618;,IPR002898;IPR014164;
P0ABV2,PF02472;,IPR003400;IPR014170;
P0A6R0,PF08545;PF08541;,IPR013751;IPR013747;IPR004655;IPR016039;
P0AEK4,,IPR014358;IPR036291;IPR002347;
P0ACU5,PF00440;,IPR009057;IPR001647;IPR039419;IPR023764;
P42593,PF00724;PF07992;,IPR013785;IPR036188;IPR023753;IPR001155;
P10384,PF03349;,IPR005017;
P0AB71,PF01116;,IPR013785;IPR000771;IPR006411;
P32177,PF02634;,IPR016193;IPR003786;
P13024,PF04216;,IPR024064;IPR006452;
P24183,PF04879;PF00384;PF01568;,IPR009010;IPR006443;IPR006657;IPR006656;IPR006963;IPR006655;IPR027467;IPR006311;
P32176,PF04879;PF00384;PF01568;,IPR009010;IPR006443;IPR006657;IPR006656;IPR006963;IPR006655;IPR027467;IPR006311;
P0AAJ5,PF13247;PF09163;,IPR017896;IPR017900;IPR006470;IPR038384;IPR014603;IPR015246;
P0A9R4,PF00111;,IPR036010;IPR001041;IPR001055;IPR018298;IPR012675;IPR011536;
P13036,PF07715;PF07660;PF00593;,IPR012910;IPR037066;IPR011662;IPR000531;IPR010916;IPR036942;IPR010917;IPR010105;
P15028,PF01497;,IPR002491;
P15031,PF00005;,IPR003593;IPR003439;IPR017871;IPR027417;
P23484,PF04542;PF08281;,IPR039425;IPR014284;IPR000838;IPR007627;IPR013249;IPR013325;IPR013324;IPR036388;
P23485,PF16220;PF04773;,IPR006860;IPR032623;IPR012373;
P0AEL3,PF04023;,IPR007167;IPR038157;IPR008988;
P33650,PF07664;PF02421;PF07670;,IPR003373;IPR011640;IPR030389;IPR011642;IPR027417;
P05825,PF07715;PF00593;,IPR039426;IPR012910;IPR037066;IPR000531;IPR010916;IPR036942;IPR010917;IPR010105;
P23878,PF00005;,IPR003593;IPR003439;IPR017871;IPR027417;
P0AGD7,PF00448;PF02881;PF02978;,IPR003593;IPR027417;IPR036891;IPR013822;IPR004125;IPR022941;IPR000897;IPR004780;
P19323,PF01590;PF02954;PF00158;,IPR003593;IPR003018;IPR029016;IPR009057;IPR002197;IPR027417;IPR002078;IPR025662;IPR025944;
P06971,PF07715;PF00593;,IPR012910;IPR037066;IPR039423;IPR000531;IPR010916;IPR036942;IPR010917;IPR010105;
P07821,PF00005;,IPR003593;IPR003439;IPR017871;IPR027417;
P39405,PF06276;PF11575;,IPR008090;IPR024726;IPR022770;
P20605,PF02661;,IPR003812;IPR036597;
P30130,PF13953;PF13954;PF00577;,IPR000015;IPR018030;IPR025949;IPR025885;IPR037224;
P08190,,IPR036937;IPR008966;
P08191,PF00419;PF09160;,IPR000259;IPR036937;IPR008966;IPR015243;
P0AEL8,PF00196;PF00072;,IPR011006;IPR016032;IPR001789;IPR000792;IPR036388;
P0A6R3,PF02954;,IPR005412;IPR009057;IPR002197;
P60566,PF01012;,IPR000049;IPR014730;IPR012255;IPR033948;IPR023463;IPR014729;
P31574,PF01012;PF00766;,IPR029035;IPR014730;IPR001308;IPR014731;IPR018206;IPR023461;IPR014729;
P68644,PF01494;,IPR002938;IPR036188;IPR039651;
P68646,,IPR012206;
P0A9L3,PF00254;PF01346;,IPR001179;IPR000774;IPR036944;
P45523,PF00254;PF01346;,IPR001179;IPR000774;IPR036944;
P0ABY4,PF00258;,IPR008254;IPR001226;IPR010086;IPR029039;
P75933,PF13144;,IPR017585;IPR039246;IPR013974;
P0ABX2,PF00460;PF06429;,IPR001444;IPR019776;IPR010930;IPR006299;
P75937,PF07559;PF00460;PF06429;,IPR011491;IPR037058;IPR001444;IPR019776;IPR020013;IPR010930;IPR037925;
P75938,PF00460;PF06429;,IPR001444;IPR019776;IPR020013;IPR010930;IPR037925;
P0ABX5,PF00460;PF06429;,IPR001444;IPR019776;IPR020013;IPR010930;IPR037925;IPR012834;
P0A6S0,PF02107;,IPR000527;
P0A6S3,PF02119;,IPR001782;
P75942,PF01832;PF10135;,IPR019301;IPR013377;IPR002901;
P33235,PF00460;PF06429;,IPR001444;IPR010930;IPR002371;
P29744,PF00669;,IPR013384;IPR001029;
P0AEM4,PF04316;,IPR035890;IPR007412;IPR031316;
P43533,PF05130;,IPR007809;IPR036679;
P76298,PF00771;,IPR025505;IPR006301;IPR001712;
P76299,PF01312;,IPR006136;IPR006135;IPR029025;
P0ABY7,PF05280;,IPR007944;
P0A8S9,PF05247;,IPR023559;IPR036194;
P76297,PF06366;,IPR009420;
P0AEM6,PF04542;PF04539;PF04545;,IPR014284;IPR000943;IPR007627;IPR007624;IPR007630;IPR012845;IPR013325;IPR013324;IPR028617;
P24216,PF07195;PF02465;,IPR040026;IPR010809;IPR003481;
P0A8T5,PF02049;,IPR001624;
P25798,PF01514;PF08345;,IPR013556;IPR000067;IPR006182;
P0ABZ1,PF01706;PF14841;PF14842;,IPR000090;IPR023087;IPR011002;IPR032779;IPR028263;
P31068,PF02108;,IPR000563;IPR018035;
P52612,PF00006;PF18269;,IPR003593;IPR020003;IPR000194;IPR032463;IPR005714;IPR020005;IPR027417;IPR040627;
P52613,PF02050;,IPR018006;IPR012823;
P0ABX8,PF03748;,IPR005503;
P06974,PF02154;PF01052;,IPR028976;IPR001689;IPR001543;IPR036429;
P15070,PF01052;PF16973;,IPR012826;IPR031576;IPR001172;IPR001543;IPR036429;
P22586,PF04347;,IPR022781;
P0AC07,PF01313;,IPR002191;IPR006305;
P33135,PF01311;,IPR006303;IPR002010;
P26608,PF02561;,IPR003713;IPR036584;
P0ABY2,PF05400;,IPR008622;
P52627,PF02899;,IPR022523;IPR004107;
P39180,PF16168;PF03797;PF13018;,IPR030930;IPR005546;IPR036709;IPR024973;IPR012332;IPR011050;
